taxon	taxID
Nautilidae	34571
Naviculaceae	67474
Nebaliidae	58365
Neilonellidae	129182
Nemaliaceae	2778587
Nemastomataceae	173458
Nematocarcinidae	98094
Nematocarcinoidea	115576
Nemertodermatidae	52051
Nemichthyidae	118167
Nemipteridae	30857
Neocentrophyidae	1215725
Neoleptonidae	1886397
Neosebastidae	274689
Neotonchidae	2044971
Nephropidae	6704
Nephropoidea	37849
Nephtyidae	36119
Nereididae	39820
Neritidae	52926
Neritoidea	216272
Nettastomatidae	118175
Niaceae	155000
Niphatidae	178475
Nitrosomonadaceae	206379
Nitrospinaceae	407032
Nitrospiraceae	189779
Nocardiaceae	85025
Nocardioidaceae	85015
Nocardiopsaceae	83676
Noctilucaceae	66804
Nodosariidae	331042
Noelaerhabdaceae	418966
Noetiidae	120458
Nolellidae	1087307
Nomeidae	215399
Nonionidae	191122
Normanellidae	610303
Nostocaceae	1162
Notacanthidae	55111
Notoplanidae	1641604
Nuculanidae	61335
Nuculidae	47127
Oceaniidae	367915
Oceanospirillaceae	135620
Octopodidae	6647
Octopoteuthidae	61732
Oculinidae	46741
Ocythoidae	985687
Odontaspididae	7802
Odontasteridae	315489
Odontoceti	9722
Odontophora	320113
Oedicerotidae	181113
Oedicerotoidea	2692364
Oenonidae	65492
Oerstediidae	187598
Oikopleuridae	41302
Oithonidae	136189
Olindiidae	128125
Omalogyridae	190185
Omalogyroidea	190184
Ommastrephidae	6626
Omosudidae	88651
Oncaeidae	349673
Onchidorididae	71283
Oncholaimidae	73927
Oncholaimoidea	320000
Onuphidae	169110
Onychocellidae	300513
Onychoteuthidae	34565
Oocystaceae	3070
Opalinopsidae	1825901
Opheliidae	36122
Ophiacanthidae	133741
Ophiactidae	41169
Ophiactoidea	2785022
Ophichthidae	54912
Ophidiasteridae	60561
Ophiocomidae	7621
Ophiodermatidae	133737
Ophiomyxidae	55626
Ophiotrichidae	742520
Ophiuridae	35054
Ophthalmidiidae	998813
Opisidae	1732370
Opisthoteuthidae	102658
Opitutaceae	134623
Oplophoroidea	115573
Orbiniidae	46603
Orbitestellidae	453436
Oregoniidae	553066
Oscarellidae	2599947
Oscillatoriaceae	1892254
Ostreidae	6563
Ostreoidea	98302
Ostreopsidaceae	58154
Otoplanidae	39228
Ototyphlonemertidae	187727
Oulastreidae	2653791
Ovulidae	217754
Oweniidae	39832
Oxycephalidae	472039
Oxynoidae	382440
Oxynooidea	158023
